17:03:48 | INFO    | scripts.prepare_data | scanning /sda/usama/QPI_Extended/data
17:03:49 | INFO    | holoqpi.data.metadata | discovered 800 complete samples across 2 modalities
17:03:49 | INFO    | scripts.prepare_data | cell lines: {'NCI': 250, 'SNU': 300, 'T24': 250}
17:03:49 | INFO    | scripts.prepare_data | conditions: {'control': 200, 'blebbistatin': 150, 'fccp': 150, 'staurosporine': 150, 'rotenone': 150}
17:03:49 | INFO    | scripts.prepare_data | calibration: dx=0.284871 dy=0.211994 um -> 0.060391 um^2/px; 1 rad*px = 0.034601 pg
17:03:59 | INFO    | holoqpi.data.masks | masks: 100/800 processed
17:04:09 | INFO    | holoqpi.data.masks | masks: 200/800 processed
17:04:19 | INFO    | holoqpi.data.masks | masks: 300/800 processed
17:04:29 | INFO    | holoqpi.data.masks | masks: 400/800 processed
17:04:39 | INFO    | holoqpi.data.masks | masks: 500/800 processed
17:04:49 | INFO    | holoqpi.data.masks | masks: 600/800 processed
17:04:59 | INFO    | holoqpi.data.masks | masks: 700/800 processed
17:05:08 | INFO    | holoqpi.data.masks | masks: 800/800 processed
17:05:08 | INFO    | holoqpi.data.masks | masks written=800 skipped=0 mean foreground=0.125
17:05:08 | INFO    | holoqpi.data.splits | splits: train=560 val=127 test=113 (stratified by cell_line+condition, seed=42)
17:05:08 | INFO    | scripts.prepare_data | preparation complete: {'train': 560, 'val': 127, 'test': 113}
17:05:08 | INFO    | scripts.prepare_data | manifest -> data/manifest.csv
